first name,amount,weight
Juha,44438,0.016721523307518665
Timo,43936,0.016532626311695848
Matti,41234,0.015515893876012076
Kari,39267,0.014775733735009124
Mikko,38173,0.01436407374809645
Jari,37611,0.014152599422095605
Antti,37237,0.014011867397319243
Jukka,33551,0.012624866746715846
Mika,33467,0.012593258484466609
Markku,32232,0.012128541771635573
Pekka,31281,0.011770691088313861
Hannu,29238,0.011001932995752075
Heikki,28192,0.010608334872981821
Janne,27570,0.010374283216802952
Ari,26650,0.010028097487406554
Seppo,26640,0.010024334599043548
Sami,26280,0.009888870617975392
Ville,25786,0.009702983932842978
Marko,25063,0.009430927104197765
Petri,24023,0.009039586714445314
Lauri,22770,0.008568096802560871
Jani,22742,0.00855756071514446
Teemu,20253,0.00762097780159268
Erkki,20156,0.007584477784471538
Harri,19674,0.007403106565374729
Jorma,19480,0.007330106531132445
Pentti,19226,0.0072345291667121345
Jarmo,18214,0.006853724864376096
Eero,18120,0.006818353713763855
Jaakko,18012,0.006777714519443408
Jussi,17938,0.006749869145557177
Pasi,17888,0.006731054703742155
Risto,17548,0.0066031164994000075
Juho,17171,0.006461255608114744
Raimo,17071,0.0064236267244847005
Niko,16927,0.006369441132057438
Toni,16717,0.006290420476434347
Esa,16636,0.006259941080694012
Jouni,16488,0.006204250332921548
Arto,15959,0.006005193538518618
Markus,15798,0.005944611035874249
Pertti,15698,0.005906982152244206
Aleksi,15621,0.005878007911849072
Tomi,15472,0.005821940875240308
Tuomas,15406,0.005797105812044479
Martti,15255,0.005740286197763113
Vesa,15123,0.005690616071371456
Reijo,15082,0.005675188229083138
Olli,15011,0.0056484717217058075
Kimmo,14618,0.005500590209039737
Joni,14520,0.005463713903082295
Jouko,14478,0.0054479097719576765
Veikko,14465,0.005443018017085771
Tommi,14332,0.0053929716018578135
Tero,13834,0.005205579761380198
Esko,13472,0.00506936320263944
Joonas,13215,0.004972656971710229
Eetu,12925,0.004863533209183103
Henri,12715,0.004784512553560012
Leo,12468,0.004691569210993805
Kalle,11289,0.004247924672995594
Elias,11281,0.004244914362305191
Jarkko,11266,0.004239270029760684
Ilkka,11093,0.004174172061080709
Jesse,11089,0.004172666905735508
Joona,10846,0.004081228718514502
Eino,10636,0.004002208062891411
Paavo,10418,0.003920177096577916
Tuomo,10297,0.003874646147385564
Mikael,10276,0.003866744081823255
Pauli,10172,0.00382761004284801
Jere,9982,0.0037561151639509275
Onni,9952,0.0037448264988619146
Matias,9783,0.003681233685527141
Juuso,9663,0.003636079025171089
Tapio,9532,0.0035867851876157323
Leevi,9081,0.003417078922444237
Veli,8973,0.00337643972812379
Arttu,8964,0.003373053128597086
Simo,8618,0.003242857191237136
Jyrki,8614,0.0032413520358919343
Joel,8464,0.0031849087104468695
Keijo,8406,0.003163083957941444
Lasse,8361,0.0031461509603079247
Niklas,8094,0.003045681841015709
Väinö,8062,0.003033640598254095
Aki,7988,0.003005795224367863
Riku,7894,0.0029704240737556224
Daniel,7821,0.0029429549887056905
Otto,7818,0.0029418261221967894
Juhani,7814,0.0029403209668515877
Kai,7795,0.0029331714789618793
Toivo,7574,0.0028500116461394834
Veeti,7500,0.0028221662722532513
Miika,7482,0.0028153930731998436
Mauri,7395,0.002782655944441706
Niilo,7303,0.002748037371502066
Jarno,7298,0.0027461559273205638
Valtteri,7164,0.002695733223256306
Jan,7028,0.0026445579415194467
Rasmus,6892,0.002593382659782588
Oliver,6849,0.0025772022398216693
Kauko,6458,0.0024300733048281996
Rauno,6458,0.0024300733048281996
Reino,6437,0.0024221712392658904
Roope,6312,0.0023751351347283366
Anton,6252,0.0023525578045503104
Teuvo,6060,0.002280310347980627
Santeri,5991,0.0022543464182758974
Ossi,5987,0.0022528412629306957
Oskari,5970,0.002246444352713588
Emil,5853,0.0022024185588664373
Atte,5763,0.0021685525635993983
Olavi,5761,0.0021677999859267974
Ismo,5756,0.0021659185417452955
Miro,5742,0.002160650498037089
Anssi,5716,0.002150866988293278
Samuel,5612,0.002111732949318033
Aaro,5609,0.002110604082809132
Vilho,5554,0.0020899081968126076
Aapo,5543,0.002085769019613303
Veijo,5452,0.0020515267355099634
Samu,5434,0.0020447535364565557
Samuli,5310,0.001998093720755302
Asko,5162,0.001942402972982838
Tuukka,5162,0.001942402972982838
Osmo,5050,0.0019002586233171893
Lassi,4984,0.0018754235601213607
Julius,4983,0.0018750472712850603
Kim,4921,0.0018517173634344333
Tauno,4921,0.0018517173634344333
Eemeli,4908,0.0018468256085625277
Kalevi,4728,0.0017790936180284496
Konsta,4605,0.0017328100911634964
Roni,4587,0.0017260368921100885
Topi,4559,0.0017155008046936765
Jimi,4549,0.001711737916330672
Johan,4479,0.0016853976977896418
Akseli,4419,0.0016628203676116158
Aimo,4373,0.0016455110811417959
Max,4341,0.001633469838380182
Taisto,4340,0.0016330935495438815
Henrik,4276,0.0016090110640206538
Aatu,4269,0.0016063770421665506
Alex,4253,0.0016003564207857437
Eemil,4221,0.0015883151780241298
Tatu,4177,0.0015717584692269107
Henry,4171,0.0015695007362091081
Miikka,4150,0.0015615986706467991
Eeli,4130,0.0015540728939207903
Yrjö,4101,0.001543160517668078
Erik,4088,0.0015382687627961723
Kasper,4080,0.0015352584521057687
Jyri,4055,0.001525851231198258
Johannes,4044,0.0015217120539989532
Vili,4036,0.0015187017433085496
Viljami,4032,0.0015171965879633479
Karl,4013,0.0015100471000736397
Tarmo,4009,0.001508541944728438
Tapani,3986,0.001499887301493528
Aarne,3963,0.001491232658258618
Patrik,3960,0.0014901037917497168
Saku,3926,0.001477309971315502
Benjamin,3918,0.0014742996606250986
Sakari,3888,0.0014630109955360855
Mauno,3836,0.001443443976048463
